timestamp,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Mag X,Mag Y,Mag Z
1665258580992,-266,192,208,62,-468,956,442,3238,-4991
1665258581016,-266,192,208,59,-468,963,442,3238,-4991
1665258581017,-266,192,208,59,-468,963,442,3238,-4991
1665258581017,-265,192,208,57,-466,967,472,3243,-4916
1665258581017,-265,192,208,57,-466,967,472,3243,-4916
1665258581017,-265,192,208,56,-466,966,472,3243,-4916
1665258581034,-265,192,208,56,-466,980,472,3243,-4916
1665258581035,-266,194,205,57,-460,980,472,3243,-4916
1665258581035,-266,194,205,59,-451,1007,472,3243,-4916
1665258581051,-266,194,205,59,-451,1007,472,3243,-4916
1665258581054,-266,194,207,53,-439,1046,472,3243,-4916
1665258581054,-266,194,207,53,-439,1046,472,3243,-4916
1665258581054,-266,194,207,53,-432,1075,472,3243,-4916
1665258581068,-266,194,207,53,-432,1075,472,3243,-4916
1665258581070,-263,193,206,53,-424,1098,472,3243,-4916
1665258581070,-263,193,206,49,-416,1119,472,3243,-4916
1665258581087,-263,193,206,49,-416,1119,472,3243,-4916
1665258581088,-263,194,208,47,-412,1132,472,3243,-4916
1665258581088,-263,194,208,47,-412,1132,472,3243,-4916
1665258581113,-263,194,208,50,-406,1154,472,3243,-4916
1665258581116,-263,194,208,50,-406,1154,472,3243,-4916
1665258581116,-262,196,207,47,-391,1192,506,3293,-4957
1665258581116,-262,196,207,47,-391,1192,506,3293,-4957
1665258581116,-262,196,207,47,-376,1237,506,3293,-4957
1665258581135,-262,196,207,46,-357,1296,506,3293,-4957
1665258581139,-263,198,205,46,-357,1296,506,3293,-4957
1665258581139,-263,198,205,47,-340,1371,506,3293,-4957
1665258581139,-263,198,205,47,-340,1371,506,3293,-4957
1665258581158,-262,200,206,50,-312,1453,506,3293,-4957
1665258581160,-262,200,206,50,-312,1453,506,3293,-4957
1665258581160,-262,200,206,47,-274,1547,506,3293,-4957
1665258581160,-262,200,206,47,-274,1547,506,3293,-4957
1665258581182,-267,207,201,52,-240,1663,506,3293,-4957
1665258581184,-267,207,201,53,-172,1855,506,3293,-4957
1665258581184,-267,207,201,53,-172,1855,506,3293,-4957
1665258581184,-266,212,199,64,-68,2078,506,3293,-4957
